0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:24:57 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 9521
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:20 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 9521
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:25:30 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
